scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition,ablation_id,topk,h_critical,risk_score
stonehenge,risk_aware_topk_v0,11,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0004690191417466,official GSplatLoader.query_distance safety h value; not meters,0.8285142106522013,0.7841053949339123,0.1344629325821094,0.1344629325821094,346,346,0.0609525470332258,0.0695687644183635,0.9942196531791908,0.0742716520579271,0.1162729710340499,296.0086705202312,300.0,0,27.209590408951044,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,12,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000333671021508,official GSplatLoader.query_distance safety h value; not meters,0.8350880412070852,0.7842408858824762,0.1293307006563698,0.1293307006563698,364,364,0.0606875066737552,0.0686627335846424,0.9972527472527472,0.0787318360028036,0.1182200834155082,291.63461538461536,300.0,0,28.48135166615248,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,13,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007767635397613,official GSplatLoader.query_distance safety h value; not meters,0.2463776721769021,0.7842169948283072,0.5910034371609432,0.5910034371609432,123,123,0.0631577129347053,0.0771363290026783,1.0,0.090829424030049,0.1130848228931427,300.0,300.0,0,9.932769818231463,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,14,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.00107227335684,official GSplatLoader.query_distance safety h value; not meters,0.2492455157765304,0.7840673094735207,0.5886420485202765,0.5886420485202765,115,115,0.060536032591177,0.06600351203233,0.991304347826087,0.0790800076220439,0.1164115145802497,300.0,300.0,0,8.995621806010604,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,15,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005725261289626,official GSplatLoader.query_distance safety h value; not meters,0.2507397534825217,0.7840023050097159,0.5874217603218509,0.5874217603218509,128,128,0.0602382469951408,0.0713969645090401,0.984375,0.080190426558056,0.1161310374736785,300.0,300.0,0,9.977181514725087,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,16,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.001028063124977,official GSplatLoader.query_distance safety h value; not meters,0.048988903250815,0.7841134052928949,0.7457005495433341,0.7457005495433341,39,39,0.0669532717707065,0.0840336224064231,0.9487179487179488,0.0934398496231265,0.1200235858559608,300.0,300.0,0,3.302593471482396,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,17,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0004922648658975,official GSplatLoader.query_distance safety h value; not meters,0.991446698648178,0.7842443635063541,0.0067078783745377,0.000669316177895,447,465,0.0594312792904274,0.0688750836998224,0.7182795698924731,0.0415409137788689,0.1091944798827171,285.7978494623656,300.0,0,35.78366460837424,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,18,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0006928707007318,official GSplatLoader.query_distance safety h value; not meters,0.9912523863845818,0.7842110507680883,0.0068599752650602,0.0003384072316229,393,411,0.0604231000363536,0.0678277406841516,0.5888077858880778,0.0280540672870803,0.1033530384302139,283.47688564476886,300.0,0,32.08794513344765,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,19,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007741636363789,official GSplatLoader.query_distance safety h value; not meters,0.991600749915772,0.7840603005550516,0.0065855185454769,0.0006789314082256,386,405,0.0598346950095376,0.0670376297086477,0.5901234567901235,0.0249675163272211,0.0994569584727287,287.3259259259259,300.0,0,31.378405656665564,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008511263877153,official GSplatLoader.query_distance safety h value; not meters,0.8150653908716482,0.784,0.1449887335566278,0.1449887335566278,325,325,0.0598670050559135,0.0698683984577655,0.9046153846153846,0.0250667612623447,0.0749241858720779,311.9846153846154,485.0,0,25.02580943144858,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,C_topk500_h0006_hybrid,500,0.0006,risk_v2_hybrid
