scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
flight,safer_splat_filter,15,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.00122303597163409,official GSplatLoader.query_distance safety h value; not meters,0.040767435311799,0.5451193570033158,0.5228962388794737,0.5228962388794737,27,27,0.11731653067248839,0.12591401431709529,1.0,0.10035224179564803,0.12295866012573242,360.2962962962963,376.5,0,3.6732145231217146,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,16,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0009070709347724915,official GSplatLoader.query_distance safety h value; not meters,0.04407849024776554,0.5508420508282867,0.5265617648627929,0.5265617648627929,37,37,0.1261192801332957,0.1483454093337059,1.0,0.12859148421400302,0.14862540364265442,364.27027027027026,377.0,0,5.374383410438895,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,17,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0006833110237494111,official GSplatLoader.query_distance safety h value; not meters,0.0389069044736311,0.5575132114071476,0.5358220981481424,0.5358220981481424,33,33,0.11232927831059153,0.13411822654306887,1.0,0.12830587284583034,0.15192298591136932,309.8181818181818,314.8,0,4.333529409021139,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,18,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.000925130327232182,official GSplatLoader.query_distance safety h value; not meters,0.02866305620920122,0.5558237106173198,0.5398921043574888,0.5398921043574888,23,23,0.11333424597978592,0.12034523990005254,1.0,0.12705683691994005,0.1500350534915924,280.82608695652175,284.9,0,3.0468447785824537,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,19,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0008767816470935941,official GSplatLoader.query_distance safety h value; not meters,0.004623051128181675,0.5481140179134305,0.5455800587845436,0.5455800587845436,9,9,0.1123985836489333,0.11594697870314122,1.0,0.1275018428762754,0.14315803349018097,279.22222222222223,282.6,0,1.1774603109806776,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,0,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0006012296071276069,official GSplatLoader.query_distance safety h value; not meters,0.2570814917473162,0.545,0.4048905869977127,0.4048905869977127,93,93,0.06458077904197478,0.0689501028507948,0.7204301075268817,0.0432078739990121,0.09521710127592087,211.48387096774192,266.79999999999995,0,7.720595655962825,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,1,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0011820945655927062,official GSplatLoader.query_distance safety h value; not meters,0.2736222168102501,0.5496245748669145,0.39923508027843807,0.39923508027843807,85,85,0.058827024829738284,0.06497383005917072,0.5529411764705883,0.0299189949040542,0.0783010795712471,122.12941176470588,171.6,0,6.593078941106796,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,2,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0007648356258869171,official GSplatLoader.query_distance safety h value; not meters,0.2917420716459864,0.5569160362085966,0.39444019807222946,0.39444019807222946,98,98,0.06177478509822062,0.06571551710367203,0.7755102040816326,0.042410555538392486,0.09274359792470932,122.72448979591837,182.0,0,7.895655682310462,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,3,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.001370814978145063,official GSplatLoader.query_distance safety h value; not meters,0.26621215714197694,0.5566727784633879,0.40847971728643157,0.40847971728643157,89,89,0.0626369785684883,0.06538143716752529,0.7865168539325843,0.04431578087420041,0.07999049872159958,138.87640449438203,205.0,0,7.242313697934151,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,4,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.001370068290270865,official GSplatLoader.query_distance safety h value; not meters,0.25914959829963,0.5492316626019831,0.40689849786524124,0.40689849786524124,88,88,0.06230119192464785,0.0660977466031909,0.8409090909090909,0.05194978292892959,0.09556826204061508,137.625,171.64999999999998,0,7.125023955479264,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,5,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0011001616949215531,official GSplatLoader.query_distance safety h value; not meters,0.26980093634636354,0.545013298855544,0.3979682005030977,0.3979682005030977,95,95,0.062126856356074935,0.06823079753667116,0.8421052631578947,0.059819321277425896,0.12269635498523712,149.2842105263158,208.3,0,7.672486871480942,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,6,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.000796144362539053,official GSplatLoader.query_distance safety h value; not meters,0.28894295337300163,0.5500250318524896,0.391099174719952,0.391099174719952,110,110,0.0629807694899765,0.06800909303128719,0.9,0.06773331860803816,0.11953268945217133,164.22727272727272,225.55,0,8.976621149107814,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,7,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0005112274084240198,official GSplatLoader.query_distance safety h value; not meters,0.3150604575636073,0.5571377572695031,0.3816056805382115,0.3816056805382115,131,131,0.06173760748205294,0.06504515185952187,0.9236641221374046,0.07920968770383828,0.11999370157718658,171.21374045801528,223.0,0,10.453405080363154,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,8,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0009239324135705829,official GSplatLoader.query_distance safety h value; not meters,0.31240682831469363,0.5564089359793438,0.3825829850440836,0.3825829850440836,119,119,0.06276184447234918,0.06514403969049454,0.9327731092436975,0.07838831032659471,0.11829392611980438,178.52100840336135,235.1,0,9.635438652709126,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,9,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0005074010696262121,official GSplatLoader.query_distance safety h value; not meters,0.3063056676330686,0.5488478950550748,0.38073267413122575,0.38073267413122575,128,128,0.06336712464690208,0.06713113486766815,0.953125,0.08459566331474497,0.11735007166862488,180.2265625,266.0,0,10.453900497406721,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,10,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0007119106594473124,official GSplatLoader.query_distance safety h value; not meters,0.2071973172090993,0.5450531399300607,0.4321195916001563,0.4321195916001563,83,83,0.06367033075945205,0.06584461741149425,0.927710843373494,0.08274524829018648,0.11912413686513901,200.5421686746988,323.49999999999994,0,6.80286087282002,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,11,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0006695542251691222,official GSplatLoader.query_distance safety h value; not meters,0.21599414058456223,0.5504314063721274,0.4315414478020278,0.4315414478020278,91,91,0.06454154609569482,0.06751834880560637,0.967032967032967,0.0913684276543189,0.1233760416507721,199.4945054945055,285.5,0,7.50961977429688,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,12,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0003416206454858184,official GSplatLoader.query_distance safety h value; not meters,0.35845179307761993,0.5573370750545091,0.3575586011525843,0.3575586011525843,167,167,0.06266746245056926,0.06618929412215949,0.9880239520958084,0.10181049279183556,0.12049034237861633,153.125748502994,279.0,0,13.46497879177332,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,13,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.00032773660495877266,official GSplatLoader.query_distance safety h value; not meters,0.35622405147159436,0.5561255426533522,0.3580202487225361,0.3580202487225361,179,179,0.0635131882742963,0.06651130579411983,0.994413407821229,0.10778785442142912,0.13364258408546448,155.24022346368716,294.0,0,14.681735752150416,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
