scene,method,trial,step,time,x,y,z,goal_distance,goal_progress_delta,control_deviation,min_safety_h_step,active_constraints_count,runtime_step,qp_feasible,collision_step
stonehenge,safer_splat_filter,92,151,7.550000000000001,0.1094827353954315,0.0039350925944745,0.0533055961132049,0.5599874258041382,0.0009317994117736816,0.1169530376791954,0.000751927960664,435,0.0548320338129997,True,False
stonehenge,safer_splat_filter,10,263,13.15,-0.157596543431282,-0.153220847249031,0.0505142956972122,0.2619213461875915,0.0008403360843659002,0.1168632060289383,0.0005186944035813,437,0.0582033386453986,True,False
stonehenge,safer_splat_filter,92,153,7.65,0.1080531179904937,0.0059521114453673,0.053593635559082,0.5581244826316833,0.0009320378303527832,0.1168211549520492,0.0007204199209809,436,0.0532246567308902,True,False
stonehenge,safer_splat_filter,16,35,1.75,0.0964101776480674,0.2800023257732391,0.0579903796315193,0.7485483884811401,0.0007519125938415527,0.1168197616934776,0.0012510978849604,390,0.0593210579827427,True,False
stonehenge,safer_splat_filter,12,362,18.1,-0.2604285180568695,-0.2200148701667785,0.0403628721833229,0.1309404671192169,0.0008389949798583984,0.1167973652482032,0.0012318212538957,315,0.0528724221512675,True,False
stonehenge,safer_splat_filter,38,41,2.0500000000000003,-0.3401246666908264,0.195271760225296,0.0593311265110969,0.7360873222351074,0.0008450746536254883,0.1167885363101959,0.0013058794429525,725,0.0617938116192817,True,False
stonehenge,safer_splat_filter,42,47,2.35,-0.389122724533081,0.1070438772439956,0.0381307303905487,0.7298284769058228,0.0007905364036560059,0.1167687103152275,0.0010374566772952,639,0.0628906926140189,True,False
stonehenge,safer_splat_filter,57,35,1.75,-0.4051604270935058,-0.1823426187038421,0.060739416629076,0.7509449124336243,0.0007559061050415039,0.1167484000325203,0.0012278535868972,722,0.0660143699496984,True,False
stonehenge,safer_splat_filter,72,37,1.85,-0.1058402955532074,-0.3909441828727722,0.0425420887768268,0.7533932328224182,0.0006383061408996582,0.11673104763031,0.0012112917611375,516,0.0593396574258804,True,False
stonehenge,safer_splat_filter,84,93,4.65,0.0438499003648757,-0.2205023020505905,0.046818945556879,0.6190972924232483,0.0008577704429626465,0.1166934743523597,0.0014148512855172,538,0.0632757246494293,True,False
stonehenge,safer_splat_filter,92,154,7.7,0.107333518564701,0.0069674518890678,0.0537470616400241,0.557188868522644,0.0009356141090393066,0.1166771128773689,0.0007083496311679,429,0.052954975515604,True,False
stonehenge,safer_splat_filter,94,174,8.700000000000001,0.0867218524217605,0.0593615435063838,0.05131621286273,0.5401584506034851,0.00042188167572021484,0.1166671067476272,0.0007395508000627,392,0.0596386641263961,True,False
stonehenge,safer_splat_filter,58,38,1.9,-0.3869482278823852,-0.2002512216567993,0.0599145889282226,0.7429044246673584,0.0008443593978881836,0.1166599169373512,0.001005646539852,651,0.0635445145890116,True,False
