scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
stonehenge,safer_splat_filter,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008511263877153397,official GSplatLoader.query_distance safety h value; not meters,0.8150653908716482,0.784,0.14498873355662784,0.14498873355662784,325,325,0.06062971264410477,0.07055210508406162,0.9046153846153846,0.02506676092467719,0.07492418587207794,316.7938461538462,485.0,0,26.667489632964134,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,41,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0010105186374858022,official GSplatLoader.query_distance safety h value; not meters,0.06502980707310162,0.7841536592617631,0.7331602980843039,0.7331602980843039,46,46,0.06301494276798937,0.06503410590812564,0.9565217391304348,0.0895161822649053,0.1152283176779747,644.5434782608696,842.25,0,3.8493996653705835,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,42,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0010374566772952676,official GSplatLoader.query_distance safety h value; not meters,0.0693983895793459,0.7842544831778233,0.7298284850249002,0.7298284850249002,47,47,0.06559497135830053,0.07755256500095128,0.9787234042553191,0.09109512124581835,0.11676871031522751,562.063829787234,668.9999999999998,0,4.107481073588133,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,43,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0010364324552938342,official GSplatLoader.query_distance safety h value; not meters,0.057508595541150155,0.7841768097981084,0.7390799028106796,0.7390799028106796,44,44,0.06384153579446403,0.0688531038351357,0.9545454545454546,0.09061153160563483,0.11551147699356079,614.9772727272727,828.7,0,3.7533227875828743,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,44,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000317254540277645,official GSplatLoader.query_distance safety h value; not meters,0.07742680804550861,0.7840298407021102,0.7233249127241173,0.7233249127241173,74,74,0.0655445747731908,0.07005710750818252,0.9594594594594594,0.0954134670654321,0.1170375719666481,682.3783783783783,843.4,0,6.45721475686878,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,45,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008984631858766079,official GSplatLoader.query_distance safety h value; not meters,0.06606207065613831,0.7840202480124056,0.7322262469923669,0.7322262469923669,51,51,0.06596222041430426,0.07518955692648888,0.9411764705882353,0.08401104529567817,0.11635076254606247,582.6274509803922,691.5,0,4.465944348834455,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,46,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000999182928353548,official GSplatLoader.query_distance safety h value; not meters,0.061749599712211015,0.7841615233883502,0.735739863209402,0.735739863209402,52,52,0.06889570427413744,0.07946157013066113,0.9423076923076923,0.086372354001563,0.11464834958314896,604.4038461538462,761.0,0,4.703243049792945,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,47,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008726863889023662,official GSplatLoader.query_distance safety h value; not meters,0.07101963215588461,0.7842549963554435,0.7285574949978653,0.7285574949978653,72,72,0.06738855437530826,0.07358245067298412,0.9722222222222222,0.08781733864863774,0.11412069201469421,698.5138888888889,853.0,0,6.392820382490754,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,48,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007353952387347817,official GSplatLoader.query_distance safety h value; not meters,0.06771117649434584,0.7841692506038881,0.7310722280748093,0.7310722280748093,65,65,0.06797577631301605,0.07692957669496536,0.9538461538461539,0.07604943079740843,0.09913702309131622,633.6307692307693,789.4,0,5.815093640238047,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,49,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.001060723909176886,official GSplatLoader.query_distance safety h value; not meters,0.05867735094318331,0.7840248375839209,0.7380203370408369,0.7380203370408369,42,42,0.06553400416548054,0.07446969095617532,0.9047619047619048,0.05184423209031027,0.07913953065872192,482.92857142857144,718.0999999999996,0,3.6512737702578306,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,50,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0013427138328552246,official GSplatLoader.query_distance safety h value; not meters,0.05102537069669484,0.7840248375839209,0.7440196796107854,0.7440196796107854,39,39,0.06684324111884986,0.07480363305658103,0.8974358974358975,0.052332278320743025,0.07829009741544724,518.5128205128206,784.6,0,3.4649365451186895,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
